Average number of packets,The proportion of time the server is idle,Ro value
0.332014252,75.02512345,0.25
0.535566329,65.181769,0.35
0.817422998,55.12930401,0.45
1.223118938,45.179382,0.55
1.877010333,34.9195682,0.65
2.958039823,25.39876634,0.75
5.505208142,15.34940718,0.85
19.8608686,4.938573946,0.95
