Average number of packets,The percentage of packet loss,Ro value
1.0034997457449673,0.37649709474682796,0.4
1.277351557731206,0.974756909517651,0.5
1.5574851197919273,1.9794442329653599,0.6000000000000001
2.014025017135024,4.12109873288545,0.7000000000000001
2.404759757050935,7.020540248999955,0.8
2.7884875050718034,10.323759721462588,0.9
3.2080245397302787,14.920802028999377,1.0
3.549925654809562,19.160119267852092,1.1
3.8219876991892647,23.388954548186135,1.2000000000000002
4.108850321573842,27.66868448250406,1.3
4.313723385989011,31.769343742753342,1.4
4.480371681344979,35.11312799716777,1.5
4.669999400856775,39.27341855521959,1.6
4.794907832474045,42.13228888526889,1.7000000000000002
4.910172857276132,45.14065556913256,1.8000000000000003
5.014476191682125,47.87563914342125,1.9
5.102171523970237,50.459077777046716,2.0
0.9773950970070687,0.0030028226532940964,0.4
1.3522846432919113,0.02865945403740059,0.5
1.8286275177532276,0.20603296527444392,0.6000000000000001
2.424680836440489,0.6156567583503868,0.7000000000000001
3.3164636754541976,1.6066263874377262,0.8
4.557381415292833,4.346900204967126,0.9
5.682051743262284,8.593675016796237,1.0
6.751781369007999,13.257600630376256,1.1
7.639728123022339,18.738631280751452,1.2000000000000002
8.291183687479418,24.289924479646345,1.3
8.809070786040596,29.07389204666866,1.4
9.14517084100184,33.316691763228036,1.5
9.449223896844911,37.760180146368924,1.6
9.616883002332122,40.7724563177508,1.7000000000000002
9.825118140916553,44.569116709183675,1.8000000000000003
9.92183025151308,47.22264485862812,1.9
10.038950191892038,50.25896199897133,2.0
1.0243153314563604,0.0,0.4
1.326527423929241,0.0,0.5
1.8254769921436589,0.0,0.6000000000000001
2.6636018217529656,0.0,0.7000000000000001
4.221715362583289,0.0,0.8
8.573878610319595,0.14163548904329237,0.9
19.62698026493647,2.1190922640511562,1.0
31.037434787586065,8.700261193622067,1.1
35.926496529460856,16.16831335573499,1.2000000000000002
37.65276425727454,22.794430370384067,1.3
38.49910139668629,28.611275607851216,1.4
39.08198657309735,33.68628200838153,1.5
39.38921814280784,37.44359773264762,1.6
39.574379624289215,40.98093220338983,1.7000000000000002
39.782405868035696,44.17159092424869,1.8000000000000003
39.88912420895579,46.78628035250111,1.9
40.0313080806264,50.400262663045105,2.0
